"","District.ID","X","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"502","South Goa",53471,"Goa",1923,0,0,1923,0,0
"503","South Sikkim",22157,"Sikkim",1923,7085.24,7547.183,1923,5660.38725,0
"504","South Tripura",25931,"Tripura",1923,9405.25,9648.053,1923,7236.03975,0
"505","Srikakulam",49289,"Andhra Pradesh",1923,4953.57,5027.643,1923,3770.73225,0
"506","Srinagar",227,"Jammu and Kashmir",1923,7744.41,6936.347,1923,5202.26025,0
"507","Sultanpur",15935,"Uttar Pradesh",1923,4464.38,4540.617,1923,3405.46275,0
"508","Sundargarh",32969,"Orissa",1923,6560.55,6768.105,1923,5076.07875,0
"509","Supaul",18689,"Bihar",1923,4386.79,4929.333,1923,3696.99975,0
"510","Surat",43985,"Gujarat",1923,3133.82,3915.562,1923,2936.6715,0
"511","Surendranagar",42557,"Gujarat",1923,1682.61,2470.471,1923,1852.85325,1
"512","Surguja",35723,"Chhattisgarh",1923,6831.62,6720.651,1923,5040.48825,0
"513","Tamenglong",24299,"Manipur",1923,10380.85,11064.755,1923,8298.56625,0
"514","Tawang",22361,"Arunachal Pradesh",1923,7998.95,8325.835,1923,6244.37625,0
"515","Tehri Garhwal",4715,"Uttaranchal",1923,5671.93,5549.161,1923,4161.87075,0
"516","Thane",46739,"Maharashtra",1923,4190.94,4889.444,1923,3667.083,0
"517","Thanjavur",57143,"Tamil Nadu",1923,4186.26,4481.227,1923,3360.92025,0
"518","The Dangs",44087,"Gujarat",1923,4461,5183.279,1923,3887.45925,0
"519","Theni",57551,"Tamil Nadu",1923,10132.62,10334.667,1923,7751.00025,0
"520","Thiruvallur",55103,"Tamil Nadu",1923,4524.11,4794.147,1923,3595.61025,0
"521","Thiruvananthapuram",55001,"Kerala",1923,3332.87,3657.625,1923,2743.21875,0
"522","Thiruvarur",57041,"Tamil Nadu",1923,4723.84,5267.757,1923,3950.81775,0
"523","Thoothukudi",57857,"Tamil Nadu",1923,4640.92,5519.304,1923,4139.478,0
"524","Thoubal",24605,"Manipur",1923,9432.39,10086.959,1923,7565.21925,0
"525","Thrissur",54287,"Kerala",1923,1089.73,1080.01,1923,810.0075,0
"526","Tikamgarh",37967,"Madhya Pradesh",1923,4956.79,4552.425,1923,3414.31875,0
"527","Tinsukia",27869,"Assam",1923,10177.74,10685.048,1923,8013.786,0
"528","Tirap",23381,"Arunachal Pradesh",1923,9771.92,10312.193,1923,7734.14475,0
"529","Tiruchchirappalli",56531,"Tamil Nadu",1923,4635.15,4825.32,1923,3618.99,0
"530","Tirunelveli Kattabo",57959,"Tamil Nadu",1923,6149.82,7088.109,1923,5316.08175,0
"531","Tiruvannamalai",55613,"Tamil Nadu",1923,4334.95,4633.687,1923,3475.26525,0
"532","Tonk",9917,"Rajasthan",1923,3352.2,3195.228,1923,2396.421,0
"533","Tuensang",23585,"Nagaland",1923,8838.87,9373.228,1923,7029.921,0
"534","Tumkur",52349,"Karnataka",1923,5270.15,5588.371,1923,4191.27825,0
"535","Udaipur",10325,"Rajasthan",1923,3019.43,3360.716,1923,2520.537,0
"536","Udhampur",941,"Jammu and Kashmir",1923,6480.48,5896.777,1923,4422.58275,0
"537","Udham Singh Nagar",5531,"Uttaranchal",1923,3692.15,3880.714,1923,2910.5355,0
"538","Udupi",52145,"Karnataka",1923,1664.53,1676.986,1923,1257.7395,0
"539","Ujjain",39293,"Madhya Pradesh",1923,4139.91,4286.734,1923,3215.0505,0
"540","Ukhrul",24911,"Manipur",1923,9029.46,9643.125,1923,7232.34375,0
"541","Umaria",38681,"Madhya Pradesh",1923,6655.4,6316.599,1923,4737.44925,0
"542","Una",2063,"Himachal Pradesh",1923,3191.81,3005.98,1923,2254.485,0
"543","Unnao",13589,"Uttar Pradesh",1923,3826.7,3929.337,1923,2947.00275,0
