"","District.ID","Ten.Year.Moving.Avg","Year"
"354","Muktsar",182.835166666667,1906
"355","Mumbai",0,1906
"356","Munger",436.761083333333,1906
"357","Murshidabad",557.252833333333,1906
"358","Muzaffarnagar",251.16075,1906
"359","Muzaffarpur",396.257833333333,1906
"360","Mysore",833.761,1906
"361","Nabarangpur",596.899916666667,1906
"362","Nadia",565.772416666667,1906
"363","Nagaon",823.3765,1906
"364","Nagapattinam",384.303916666667,1906
"365","Nagaur",181.6265,1906
"366","Nagpur",427.133666666667,1906
"367","Naini Tal",314.742666666667,1906
"368","Nalanda",436.8705,1906
"369","Nalbari",758.764666666667,1906
"370","Nalgonda",344.2215,1906
"371","Namakkal",420.433833333333,1906
"372","Nanded",379.267583333333,1906
"373","Nandurbar",335.768416666667,1906
"374","Narmada",353.941333333333,1906
"375","Narsinghpur",439.228083333333,1906
"376","Nashik",466.363666666667,1906
"377","Navsari",316.027416666667,1906
"378","Nawada",471.93425,1906
"379","Nawan Shehar",223.8425,1906
"380","Nayagarh",477.630833333333,1906
"381","Neemuch",294.97375,1906
"382","Nellore",384.3125,1906
"383","Nicobar Islands",0,1906
"384","Nilgiris",861.245083333333,1906
"385","Nizamabad",397.169166666667,1906
"386","North 24 Parganas",559.345416666667,1906
"387","North Cachar Hills",998.271416666666,1906
"388","North Goa",151.249666666667,1906
"389","North Sikkim",810.596166666667,1906
"390","North Tripura",842.61925,1906
"391","Nuapada",550.980916666667,1906
"392","Osmanabad",316.033166666667,1906
"393","Pakur",550.597833333333,1906
"394","Palakkad",640.323916666667,1906
"395","Palamu",548.94525,1906
"396","Pali",203.252416666667,1906
"397","Panchkula",255.785083333333,1906
"398","Panch Mahals",297.367333333333,1906
"399","Panipat",213.007833333333,1906
"400","Panna",418.6755,1906
"401","Parbhani",340.668333333333,1906
"402","Pashchim Champaran",373.405666666667,1906
"403","Pashchim Singhbhum",563.858166666666,1906
"404","Patan",146.062583333333,1906
"405","Patiala",213.6665,1906
"406","Patna",425.83175,1906
"407","Pattanamtitta",363.11675,1906
"408","Pauri Garhwal",343.113166666667,1906
"409","Perambalur",377.9165,1906
"410","Phek",786.116416666667,1906
"411","Pilibhit",326.561666666667,1906
"412","Pithoragarh",659.223416666667,1906
"413","Porbandar",20.4819166666666,1906
"414","Prakasam",345.688666666667,1906
"415","Pratapgarh",373.227333333333,1906
"416","Puducherry",355.081,1906
"417","Pudukkottai",350.652083333333,1906
"418","Pulwama",617.783833333333,1906
"419","Punch",724.407916666667,1906
"420","Pune",613.11,1906
"421","Purba Champaran",370.937083333333,1906
"422","Purba Singhbhum",576.301166666667,1906
"423","Puri",422.101166666667,1906
"424","Purnia",466.818916666667,1906
"425","Puruliya",560.8635,1906
"426","Rae Bareli",349.6805,1906
"427","Raichur",305.350333333333,1906
"428","Raigarh",402.96875,1906
"429","Raipur",510.568,1906
"430","Raisen",404.086833333333,1906
"431","Rajauri",645.38925,1906
"432","Rajgarh",339.738416666667,1906
"433","Rajkot",244.277583333333,1906
"434","Raj Nandgaon",515.240833333333,1906
"435","Rajsamand",262.789333333333,1906
"436","Ramanathapuram",433.389083333333,1906
"437","Rampur",288.210083333333,1906
"438","Ranchi",577.264083333333,1906
"439","Rangareddi",381.75175,1906
"440","Ratlam",320.658416666667,1906
"441","Ratnagiri",262.279833333333,1906
"442","Rayagada",520.03325,1906
"443","Rewa",448.663416666667,1906
"444","Rewari",232.722833333333,1906
"445","Rohtak",211.011333333333,1906
"446","Rohtas",441.5685,1906
"447","Rudra Prayag",558.20075,1906
"448","Rupnagar",237.362333333333,1906
"449","Sabar Kantha",245.54175,1906
"450","Sagar",370.974416666667,1906
"451","Saharanpur",240.90325,1906
"452","Saharsa",399.717083333333,1906
"453","Sahibganj",537.725666666667,1906
"454","Saiha",959.880000000001,1906
"455","Salem",394.226666666667,1906
"456","Samastipur",407.683333333333,1906
"457","Sambalpur",510.687666666667,1906
"458","Sangli",527.633583333333,1906
"459","Sangrur",188.09275,1906
"460","Sant Kabir Nagar",353.2455,1906
"461","Sant Ravi Das Nagar",431.830666666667,1906
"462","Saran",392.237416666667,1906
"463","Satara",618.320916666667,1906
"464","Satna",446.846916666667,1906
"465","Sawai Madhopur",262.418083333333,1906
"466","Sehore",348.734,1906
"467","Senapati",852.042333333333,1906
"468","Seoni",459.864916666667,1906
"469","Shahdol",532.393333333333,1906
"470","Shahjahanpur",312.306916666667,1906
"471","Shajapur",349.0345,1906
"472","Sheikhpura",436.71475,1906
"473","Sheohar",388.932833333333,1906
"474","Sheopur",296.655416666667,1906
"475","Shimla",460.80325,1906
"476","Shimoga",732.417,1906
"477","Shivpuri",347.945416666667,1906
"478","Shravasti",373.7825,1906
"479","Sibsagar",747.6125,1906
"480","Siddharth Nagar",377.70375,1906
"481","Sidhi",500.53225,1906
"482","Sikar",204.944166666667,1906
"483","Sindhudurg",99.9717500000001,1906
"484","Sirmaur",300.734166666667,1906
"485","Sirohi",200.293083333333,1906
"486","Sirsa",177.362,1906
"487","Sitamarhi",391.901333333333,1906
"488","Sitapur",337.897416666667,1906
"489","Sivaganga",364.403083333333,1906
"490","Siwan",352.675916666667,1906
"491","Solan",281.559083333333,1906
"492","Solapur",340.272666666667,1906
"493","Sonbhadra",496.60375,1906
"494","Sonepat",217.207583333333,1906
"495","Sonepur",493.63475,1906
"496","Sonitpur",613.370583333333,1906
"497","South 24 Parganas",438.619583333333,1906
"498","South Goa",0,1906
"499","South Sikkim",638.434833333333,1906
"500","South Tripura",791.337333333333,1906
"501","Srikakulam",392.426333333333,1906
"502","Srinagar",613.882583333333,1906
"503","Sultanpur",353.584333333333,1906
"504","Sundargarh",531.891166666667,1906
"505","Supaul",402.893833333333,1906
"506","Surat",336.00025,1906
"507","Surendranagar",200.238083333333,1906
"508","Surguja",527.076333333333,1906
"509","Tamenglong",946.462166666667,1906
"510","Tawang",709.401416666667,1906
"511","Tehri Garhwal",443.539666666667,1906
"512","Thane",426.605166666666,1906
"513","Thanjavur",363.87325,1906
"514","The Dangs",453.362916666667,1906
"515","Theni",857.246583333333,1906
"516","Thiruvallur",407.8175,1906
"517","Thiruvananthapuram",280.317083333333,1906
"518","Thiruvarur",426.86125,1906
"519","Thoothukudi",429.467083333333,1906
"520","Thoubal",862.702833333333,1906
"521","Thrissur",88.3950833333333,1906
"522","Tikamgarh",357.69575,1906
"523","Tinsukia",881.9415,1906
"524","Tirap",849.05525,1906
"525","Tiruchchirappalli",404.860166666667,1906
"526","Tirunelveli Kattabo",556.974416666667,1906
"527","Tiruvannamalai",400.26775,1906
"528","Tonk",252.045583333333,1906
"529","Tuensang",775.745833333333,1906
"530","Tumkur",496.228833333334,1906
"531","Udaipur",267.163333333333,1906
"532","Udhampur",506.876916666667,1906
"533","Udham Singh Nagar",305.37375,1906
"534","Udupi",141.029833333333,1906
"535","Ujjain",341.31625,1906
"536","Ukhrul",820.814333333333,1906
"537","Umaria",494.983083333333,1906
"538","Una",253.044833333333,1906
"539","Unnao",307.217333333333,1906
"540","Upper Dibang Valley",947.119666666667,1906
"541","Upper Subansiri",774.088916666667,1906
"542","Uttar Dinajpur",544.917,1906
"543","Uttar Kannand",337.971166666667,1906
"544","Uttarkashi",573.832166666667,1906
"545","Vadodara",317.287666666667,1906
"546","Vaishali",412.440166666667,1906
"547","Valsad",369.969,1906
"548","Varanasi",428.2535,1906
"549","Vellore",398.379666666667,1906
"550","Vidisha",366.47025,1906
"551","Villupuram",381.1835,1906
"552","Virudhunagar",582.674,1906
"553","Vishakhapatnam",489.125416666667,1906
"554","Vizianagaram",486.581833333333,1906
"555","Warangal",358.250333333333,1906
"556","Wardha",389.142083333333,1906
"557","Washim",363.408166666667,1906
"558","Wayanad",688.902083333333,1906
"559","West Garo Hills",677.972583333333,1906
"560","West Godavari",412.328666666667,1906
"561","West Imphal",967.799999999999,1906
"562","West Kameng",660.665666666667,1906
"563","West Khasi Hills",801.863916666667,1906
"564","West Nimar",309.887666666667,1906
"565","West Siang",859.052333333334,1906
"566","West Sikkim",653.446083333333,1906
"567","West Tripura",769.40025,1906
"568","Wokha",678.75375,1906
"569","Yamuna Nagar",231.59125,1906
"570","Yanam",464.85,1906
"571","Yavatmal",381.3565,1906
"572","Zunheboto",740.433666666667,1906
